num_states,length_alphabet,num_strings_found,is_Infinite
2,2,0,False
2,4,82,True
2,6,224,True
2,8,1561,True
2,10,0,False
2,2,8,True
2,4,124,True
2,6,156,True
2,8,0,False
2,10,4689,True
2,2,6,True
2,4,34,True
2,6,441,True
2,8,365,True
2,10,0,False
2,2,11,True
2,4,57,True
2,6,0,False
2,8,2420,True
2,10,2808,True
2,2,8,True
2,4,41,True
2,6,390,True
2,8,1017,True
2,10,3776,True
2,2,1,False
2,4,71,True
2,6,345,True
2,8,0,False
2,10,3405,True
2,2,0,False
2,4,83,True
2,6,484,True
2,8,1561,True
2,10,890,True
2,2,0,False
2,4,51,True
2,6,986,True
2,8,0,False
2,10,2322,True
2,2,3,True
2,4,0,False
2,6,236,True
2,8,450,True
2,10,3244,True
2,2,5,True
2,4,31,True
2,6,0,False
2,8,2456,True
2,10,3531,True
2,2,0,False
2,4,0,False
2,6,0,False
2,8,0,False
2,10,1186,True
2,2,17,True
2,4,0,False
2,6,0,False
2,8,1046,True
2,10,4689,True
2,2,1,False
2,4,33,True
2,6,345,True
2,8,0,False
2,10,358,True
2,2,33,True
2,4,62,True
2,6,135,True
2,8,0,False
2,10,3668,True
2,2,16,True
2,4,33,True
2,6,0,False
2,8,671,True
2,10,0,False
2,2,0,False
2,4,0,False
2,6,439,True
2,8,0,False
2,10,4275,True
2,2,33,True
2,4,33,True
2,6,345,True
2,8,517,True
2,10,867,True
2,2,0,False
2,4,102,True
2,6,0,False
2,8,1561,True
2,10,1605,True
2,2,1,False
2,4,124,True
2,6,498,True
2,8,1037,True
2,10,6339,True
2,2,28,True
2,4,30,True
2,6,169,True
2,8,0,False
2,10,1161,True
2,2,0,False
2,4,17,True
2,6,638,True
2,8,331,True
2,10,3872,True
2,2,0,False
2,4,62,True
2,6,345,True
2,8,0,False
2,10,0,False
2,2,10,True
2,4,93,True
2,6,124,True
2,8,0,False
2,10,4937,True
2,2,3,True
2,4,91,True
2,6,0,False
2,8,256,True
2,10,4103,True
2,2,9,True
2,4,0,False
2,6,0,False
2,8,1688,True
2,10,4017,True
2,2,10,True
2,4,5,True
2,6,138,True
2,8,671,True
2,10,0,False
2,2,13,True
2,4,34,True
2,6,232,True
2,8,255,True
2,10,4689,True
2,2,8,True
2,4,124,True
2,6,0,False
2,8,0,False
2,10,0,False
2,2,1,False
2,4,65,True
2,6,345,True
2,8,1561,True
2,10,713,True
2,2,0,False
2,4,83,True
2,6,0,False
2,8,1561,True
2,10,409,True
2,2,0,False
2,4,83,True
2,6,86,True
2,8,1561,True
2,10,1136,True
2,2,6,True
2,4,99,True
2,6,208,True
2,8,296,True
2,10,0,False
2,2,6,True
2,4,6,True
2,6,345,True
2,8,1233,True
2,10,0,False
2,2,6,True
2,4,59,True
2,6,0,False
2,8,0,False
2,10,6686,True
2,2,1,False
2,4,0,False
2,6,0,False
2,8,0,False
2,10,650,True
2,2,0,False
2,4,124,True
2,6,594,True
2,8,0,False
2,10,7390,True
2,2,0,False
2,4,16,True
2,6,422,True
2,8,0,False
2,10,4689,True
