num_states,length_alphabet,num_strings_found,is_Infinite
2,2,0,False
2,4,6,True
2,6,6,True
2,8,0,False
2,10,0,False
2,2,11,True
2,4,0,False
2,6,0,False
2,8,6,True
2,10,0,False
2,2,7,True
2,4,0,False
2,6,2,True
2,8,6,True
2,10,6,True
2,2,0,False
2,4,0,False
2,6,6,True
2,8,4,True
2,10,3,True
2,2,3,True
2,4,11,True
2,6,7,True
2,8,6,True
2,10,6,True
2,2,6,True
2,4,11,True
2,6,1,False
2,8,6,True
2,10,0,False
2,2,12,True
2,4,4,True
2,6,10,True
2,8,4,True
2,10,2,False
2,2,8,True
2,4,0,False
2,6,0,False
2,8,2,False
2,10,1,False
2,2,6,True
2,4,0,False
2,6,10,True
2,8,0,False
2,10,5,True
2,2,0,False
2,4,0,False
2,6,9,True
2,8,0,False
2,10,0,False
2,2,3,True
2,4,0,False
2,6,2,True
2,8,1,False
2,10,5,True
2,2,7,True
2,4,0,False
2,6,10,True
2,8,0,False
2,10,6,True
2,2,1,False
2,4,4,True
2,6,2,True
2,8,0,False
2,10,3,True
2,2,7,True
2,4,11,True
2,6,9,True
2,8,6,True
2,10,0,False
2,2,8,True
2,4,10,True
2,6,9,True
2,8,6,True
2,10,6,True
2,2,6,True
2,4,0,False
2,6,9,True
2,8,2,True
2,10,2,False
2,2,0,False
2,4,0,False
2,6,0,False
2,8,0,False
2,10,0,False
2,2,4,True
2,4,10,True
2,6,9,True
2,8,6,True
2,10,0,False
2,2,3,True
2,4,5,True
2,6,7,True
2,8,0,False
2,10,0,False
2,2,5,True
2,4,3,True
2,6,2,True
2,8,6,True
2,10,6,True
2,2,3,True
2,4,4,False
2,6,5,True
2,8,0,False
2,10,6,True
2,2,6,True
2,4,10,True
2,6,6,True
2,8,6,True
2,10,0,False
2,2,5,True
2,4,11,True
2,6,9,True
2,8,6,True
2,10,0,False
2,2,5,True
2,4,3,True
2,6,9,True
2,8,0,False
2,10,6,True
2,2,0,False
2,4,3,True
2,6,10,True
2,8,0,False
2,10,9,True
2,2,0,False
2,4,3,True
2,6,0,False
2,8,0,False
2,10,5,True
2,2,0,False
2,4,10,True
2,6,0,False
2,8,0,False
2,10,0,False
2,2,2,False
2,4,3,False
2,6,3,True
2,8,0,False
2,10,6,True
2,2,0,False
2,4,11,True
2,6,2,True
2,8,0,False
2,10,6,True
2,2,0,False
2,4,12,True
2,6,0,False
2,8,0,False
2,10,6,True
2,2,5,True
2,4,3,True
2,6,3,True
2,8,6,True
2,10,3,True
2,2,8,True
2,4,10,True
2,6,0,False
2,8,6,True
2,10,0,False
2,2,4,True
2,4,10,True
2,6,1,False
2,8,6,True
2,10,6,True
2,2,11,True
2,4,7,True
2,6,9,True
2,8,6,True
2,10,5,True
2,2,1,False
2,4,3,True
2,6,0,False
2,8,6,True
2,10,6,True
2,2,1,False
2,4,10,True
2,6,9,True
2,8,0,False
2,10,6,True
2,2,0,False
2,4,0,False
2,6,9,True
2,8,0,False
2,10,1,False
2,2,11,True
2,4,11,True
2,6,5,True
2,8,0,False
2,10,6,True
2,2,11,True
2,4,7,True
2,6,0,False
2,8,0,False
2,10,0,False
2,2,0,False
2,4,5,True
2,6,1,False
2,8,6,True
2,10,0,False
2,2,3,True
2,4,4,True
2,6,0,False
2,8,3,True
2,10,5,True
2,2,0,False
2,4,4,True
2,6,0,False
2,8,6,True
2,10,6,True
2,2,0,False
2,4,10,True
2,6,0,False
2,8,6,True
2,10,0,False
2,2,0,False
2,4,11,True
2,6,6,True
2,8,6,True
2,10,6,True
2,2,0,False
2,4,8,True
2,6,9,True
2,8,7,True
2,10,6,True
2,2,3,True
2,4,0,False
2,6,0,False
2,8,0,False
2,10,9,True
2,2,3,True
2,4,11,True
2,6,0,False
2,8,6,True
2,10,0,False
2,2,6,True
2,4,0,False
2,6,7,True
2,8,6,True
2,10,0,False
2,2,8,True
2,4,0,False
2,6,1,False
2,8,6,True
2,10,0,False
2,2,6,True
2,4,0,False
2,6,5,True
2,8,6,True
2,10,6,True
2,2,6,True
2,4,3,True
2,6,0,False
2,8,0,False
2,10,0,False
2,2,3,True
2,4,0,False
2,6,7,True
2,8,6,True
2,10,6,True
2,2,9,True
2,4,0,False
2,6,0,False
2,8,0,False
2,10,0,False
2,2,11,True
2,4,10,True
2,6,0,False
2,8,6,True
2,10,0,False
2,2,5,True
2,4,10,True
2,6,9,True
2,8,1,False
2,10,6,True
2,2,0,False
2,4,6,True
2,6,10,True
2,8,0,False
2,10,0,False
2,2,9,True
2,4,11,True
2,6,9,True
2,8,1,False
2,10,5,True
2,2,5,True
2,4,7,True
2,6,0,False
2,8,0,False
2,10,0,False
2,2,6,True
2,4,7,True
2,6,9,True
2,8,0,False
2,10,1,False
2,2,0,False
2,4,0,False
2,6,0,False
2,8,6,True
2,10,0,False
2,2,5,True
2,4,3,True
2,6,6,True
2,8,0,False
2,10,6,True
2,2,3,True
2,4,0,False
2,6,9,True
2,8,0,False
2,10,0,False
2,2,1,False
2,4,7,True
2,6,6,True
2,8,6,True
2,10,0,False
2,2,2,False
2,4,4,True
2,6,0,False
2,8,0,False
2,10,6,True
2,2,3,True
2,4,3,True
2,6,0,False
2,8,6,True
2,10,0,False
2,2,8,True
2,4,5,True
2,6,1,False
2,8,6,True
2,10,0,False
2,2,11,True
2,4,4,True
2,6,0,False
2,8,0,False
2,10,6,True
2,2,11,True
2,4,0,False
2,6,7,True
2,8,0,False
2,10,6,True
2,2,3,False
2,4,10,True
2,6,6,True
2,8,0,False
2,10,6,True
2,2,7,True
2,4,11,True
2,6,2,True
2,8,6,True
2,10,0,False
2,2,6,True
2,4,8,True
2,6,0,False
2,8,6,True
2,10,2,False
2,2,7,True
2,4,10,True
2,6,6,True
2,8,6,True
2,10,3,True
2,2,1,False
2,4,4,True
2,6,1,False
2,8,0,False
2,10,0,False
2,2,1,False
2,4,11,True
2,6,0,False
2,8,3,True
2,10,3,True
2,2,11,True
2,4,7,True
2,6,0,False
2,8,0,False
2,10,0,False
2,2,1,False
2,4,5,True
2,6,0,False
2,8,6,True
2,10,0,False
2,2,5,True
2,4,10,True
2,6,6,True
2,8,0,False
2,10,0,False
2,2,3,True
2,4,11,True
2,6,10,True
2,8,0,False
2,10,0,False
2,2,3,True
2,4,5,True
2,6,9,True
2,8,6,True
2,10,6,True
2,2,1,False
2,4,3,True
2,6,0,False
2,8,0,False
2,10,6,True
2,2,8,True
2,4,0,False
2,6,10,True
2,8,0,False
2,10,6,True
2,2,3,True
2,4,8,True
2,6,6,True
2,8,0,False
2,10,5,True
2,2,0,False
2,4,0,False
2,6,0,False
2,8,6,True
2,10,0,False
2,2,5,True
2,4,10,True
2,6,0,False
2,8,6,True
2,10,6,True
2,2,4,True
2,4,7,True
2,6,0,False
2,8,6,True
2,10,0,False
2,2,3,True
2,4,0,False
2,6,9,True
2,8,0,False
2,10,0,False
2,2,5,True
2,4,10,True
2,6,6,True
2,8,6,True
2,10,6,True
2,2,0,False
2,4,9,True
2,6,6,True
2,8,6,True
2,10,6,True
2,2,7,True
2,4,8,True
2,6,4,True
2,8,0,False
2,10,6,True
2,2,0,False
2,4,11,True
2,6,7,True
2,8,4,True
2,10,0,False
2,2,3,True
2,4,0,False
2,6,4,True
2,8,0,False
2,10,0,False
2,2,11,True
2,4,8,True
2,6,0,False
2,8,6,True
2,10,6,True
2,2,3,True
2,4,10,True
2,6,9,True
2,8,6,True
2,10,0,False
2,2,7,True
2,4,10,True
2,6,6,True
2,8,2,False
2,10,0,False
2,2,0,False
2,4,0,False
2,6,0,False
2,8,0,False
2,10,0,False
2,2,5,True
2,4,10,True
2,6,0,False
2,8,6,True
2,10,6,True
2,2,2,False
2,4,11,True
2,6,0,False
2,8,0,False
2,10,6,True
2,2,11,True
2,4,8,True
2,6,0,False
2,8,0,False
2,10,6,True
2,2,0,False
2,4,11,True
2,6,9,True
2,8,0,False
2,10,6,True
2,2,4,True
2,4,11,True
2,6,6,True
2,8,6,True
2,10,6,True
3,2,3,True
3,4,9,True
3,6,0,False
3,8,7,True
3,10,0,False
3,2,13,True
3,4,8,True
3,6,17,True
3,8,2,True
3,10,0,False
3,2,7,True
3,4,0,False
3,6,0,False
3,8,7,True
3,10,8,True
3,2,4,True
3,4,5,True
3,6,4,True
3,8,2,False
3,10,0,False
3,2,7,True
3,4,14,True
3,6,16,True
3,8,1,True
3,10,0,False
3,2,17,True
3,4,9,True
3,6,4,True
3,8,5,True
3,10,0,False
3,2,15,True
3,4,0,False
3,6,16,True
3,8,2,False
3,10,0,False
3,2,0,False
3,4,11,True
3,6,0,False
3,8,16,True
3,10,0,False
3,2,10,True
3,4,2,True
3,6,0,False
3,8,7,True
3,10,4,True
3,2,3,True
3,4,22,True
3,6,0,False
3,8,12,True
3,10,0,False
3,2,10,True
3,4,22,True
3,6,10,True
3,8,8,True
3,10,8,True
3,2,11,True
3,4,17,True
3,6,0,False
3,8,0,False
3,10,0,False
3,2,12,True
3,4,23,True
3,6,17,True
3,8,0,False
3,10,0,False
3,2,0,False
3,4,14,True
3,6,0,False
3,8,1,False
3,10,0,False
3,2,0,False
3,4,15,True
3,6,10,True
3,8,6,True
3,10,2,True
3,2,10,True
3,4,4,True
3,6,0,False
3,8,8,True
3,10,8,True
3,2,14,True
3,4,0,False
3,6,16,True
3,8,13,True
3,10,8,True
3,2,3,True
3,4,9,True
3,6,17,True
3,8,0,False
3,10,3,True
3,2,6,True
3,4,0,False
3,6,16,True
3,8,0,False
3,10,8,True
3,2,18,True
3,4,14,True
3,6,13,True
3,8,0,False
3,10,0,False
3,2,5,True
3,4,3,True
3,6,16,True
3,8,0,False
3,10,8,True
3,2,1,False
3,4,8,True
3,6,3,True
3,8,8,True
3,10,0,False
3,2,0,False
3,4,6,True
3,6,10,True
3,8,13,True
3,10,8,True
3,2,6,True
3,4,9,True
3,6,16,True
3,8,0,False
3,10,8,True
3,2,7,True
3,4,0,False
3,6,12,True
3,8,1,False
3,10,0,False
3,2,3,True
3,4,11,True
3,6,16,True
3,8,13,True
3,10,8,True
3,2,8,True
3,4,9,True
3,6,17,True
3,8,13,True
3,10,0,False
3,2,0,False
3,4,23,True
3,6,0,False
3,8,2,True
3,10,8,True
3,2,7,True
3,4,13,True
3,6,6,True
3,8,6,True
3,10,0,False
3,2,9,True
3,4,10,True
3,6,0,False
3,8,2,True
3,10,8,True
3,2,7,True
3,4,14,True
3,6,0,False
3,8,0,False
3,10,0,False
3,2,3,True
3,4,10,True
3,6,8,True
3,8,13,True
3,10,0,False
3,2,4,True
3,4,0,False
3,6,13,True
3,8,6,True
3,10,0,False
3,2,5,True
3,4,6,True
3,6,16,True
3,8,1,False
3,10,8,True
3,2,11,True
3,4,23,True
3,6,13,True
3,8,2,True
3,10,8,True
3,2,12,True
3,4,8,True
3,6,0,False
3,8,13,True
3,10,0,False
3,2,10,True
3,4,12,True
3,6,22,True
3,8,9,True
3,10,0,False
3,2,13,True
3,4,2,True
3,6,17,True
3,8,8,True
3,10,8,True
3,2,8,True
3,4,6,True
3,6,16,True
3,8,13,True
3,10,0,False
3,2,8,True
3,4,14,True
3,6,0,False
3,8,0,False
3,10,8,True
3,2,4,True
3,4,8,True
3,6,3,True
3,8,13,True
3,10,0,False
3,2,14,True
3,4,3,True
3,6,7,True
3,8,1,True
3,10,0,False
3,2,6,True
3,4,22,True
3,6,6,True
3,8,0,False
3,10,8,True
3,2,12,True
3,4,20,True
3,6,3,True
3,8,16,True
3,10,8,True
3,2,12,True
3,4,14,True
3,6,17,True
3,8,0,False
3,10,0,False
3,2,9,True
3,4,0,False
3,6,22,True
3,8,1,True
3,10,0,False
3,2,6,True
3,4,0,False
3,6,16,True
3,8,13,True
3,10,0,False
3,2,8,True
3,4,11,True
3,6,16,True
3,8,13,True
3,10,0,False
3,2,6,True
3,4,5,True
3,6,6,True
3,8,7,True
3,10,8,True
3,2,0,False
3,4,4,True
3,6,10,True
3,8,5,True
3,10,0,False
3,2,7,True
3,4,8,True
3,6,3,True
3,8,3,True
3,10,0,False
3,2,0,False
3,4,5,True
3,6,4,True
3,8,0,False
3,10,0,False
3,2,12,True
3,4,0,False
3,6,0,False
3,8,8,True
3,10,0,False
3,2,10,True
3,4,12,True
3,6,17,True
3,8,8,True
3,10,0,False
3,2,23,True
3,4,13,True
3,6,16,True
3,8,8,True
3,10,0,False
3,2,8,True
3,4,4,False
3,6,10,True
3,8,9,True
3,10,0,False
3,2,18,True
3,4,22,True
3,6,13,True
3,8,13,True
3,10,8,True
3,2,10,True
3,4,0,False
3,6,17,True
3,8,8,True
3,10,8,True
3,2,18,True
3,4,14,True
3,6,17,True
3,8,2,True
3,10,8,True
3,2,16,True
3,4,4,True
3,6,3,True
3,8,0,False
3,10,2,False
3,2,15,True
3,4,0,False
3,6,13,True
3,8,1,False
3,10,0,False
3,2,15,True
3,4,14,True
3,6,0,False
3,8,11,True
3,10,0,False
3,2,9,True
3,4,0,False
3,6,13,True
3,8,0,False
3,10,0,False
3,2,23,True
3,4,2,True
3,6,16,True
3,8,0,False
3,10,8,True
3,2,14,True
3,4,0,False
3,6,0,False
3,8,7,True
3,10,4,True
3,2,3,True
3,4,9,True
3,6,4,True
3,8,13,True
3,10,8,True
3,2,0,False
3,4,15,True
3,6,4,True
3,8,2,True
3,10,0,False
3,2,0,False
3,4,22,True
3,6,8,True
3,8,0,False
3,10,4,True
3,2,10,True
3,4,9,True
3,6,17,True
3,8,0,False
3,10,8,True
3,2,2,False
3,4,7,True
3,6,16,True
3,8,11,True
3,10,0,False
3,2,14,True
3,4,0,False
3,6,16,True
3,8,0,False
3,10,9,True
3,2,7,True
3,4,14,True
3,6,22,True
3,8,0,False
3,10,0,False
3,2,14,True
3,4,0,False
3,6,0,False
3,8,1,True
3,10,0,False
3,2,14,True
3,4,6,True
3,6,13,True
3,8,1,False
3,10,0,False
3,2,12,True
3,4,17,True
3,6,17,True
3,8,0,False
3,10,0,False
3,2,11,True
3,4,16,True
3,6,7,True
3,8,8,True
3,10,0,False
3,2,2,False
3,4,0,False
3,6,22,True
3,8,2,True
3,10,0,False
3,2,8,True
3,4,0,False
3,6,15,True
3,8,8,True
3,10,0,False
3,2,4,True
3,4,0,False
3,6,17,True
3,8,0,False
3,10,3,True
3,2,7,True
3,4,9,True
3,6,16,True
3,8,8,True
